index,place,location,percent_veg,percent_high_veg,adress,arrondissement,place_type,lat,long
18,BERNARD LAFAY (C3),Promenades ouvertes,0.31629104,31.629104,8 BD REIMS,17,Promenade,48.8916414,2.299363863
19,PROMENADE PEREIRE - GUERSANT / TERNES,Promenades ouvertes,0.19382987,19.382987,82 B AV TERNES,17,Promenade,48.88052959,2.289062266
20,JARDIN DAMIA,Promenades ouvertes,0.12236652,12.236652,24 RUE ROBERT ET SONIA DELAUNAY,11,Jardin,48.85490225,2.394591387
21,SQUARE SARAH BERNHARDT,Promenades ouvertes,0.30982784,30.982784,13 RUE MOUNET SULLY,20,Square,48.84934402,2.403883119
22,Bois de Boulogne,Bois,0.24713333,24.713333,,16,Bois,48.86318231,2.238203449
23,COULEE VERTE RENE DUMONT - PROMENADE DE LA RUE DU SAHEL,Promenades ouvertes,0.4729154,47.29154,2 RUE SAHEL,12,Promenade,48.84067935,2.404728642
24,Bois de Vincennes,Bois,0.85224332,85.224332,,12,Bois,48.83770114,2.456120794
25,Bois de Vincennes,Bois,0.38566084,38.566084,,12,Bois,48.81939105,2.462427975
26,Bois de Vincennes,Bois,0.34637279,34.637279,,12,Bois,48.826451,2.408524293
27,JARDIN ALEXANDRE SOLJENITSYNE,Promenades ouvertes,0.21915051,21.915051,4 PL PORTE MAILLOT,16,,48.87781478,2.282375785
28,SQUARE ALESIA-RIDDER,Promenades ouvertes,0.47888757,47.888757,209 RUE ALESIA,14,Square,48.83178891,2.31319364
29,JARDIN DE LA RUE REBEVAL,Promenades ouvertes,0.7285672,72.85672,13 RUE REBEVAL,19,Jardin,48.8745258,2.377096561
30,JARDIN PAUL DIDIER,Promenades ouvertes,0.01683477,1.683477,12 RUE COLONEL MANHES,17,Jardin,48.89531078,2.319919518
31,JARDIN TERESKA TORRES-LEVIN,Promenades ouvertes,0.1,10,7 RUE LAURE DIEBOLD,8,Jardin,48.87581987,2.305359983
32,JARDIN VISCONTI-ALICE SAUNIER SEITE,Promenades ouvertes,0.68186153,68.186153,8 RUE VISCONTI,6,Jardin,48.85581076,2.335937764
33,PARC KELLERMANN,Promenades ouvertes,0.43633018,43.633018,19 RUE POTERNE PEUPLIERS,13,Parc,48.81831776,2.355357143
34,PROMENADE PC 15 - BALARD - DESNOUETTES - SERRES,Promenades ouvertes,0.4242941,42.42941,66 Z RUE LEBLANC,15,,48.83508353,2.283707358
35,Le Pré Catelan,Bois,0.38422753,38.422753,Route de la Grande Cascade,16,Bois,48.86386489,2.25062002
36,PROMENADE DU QUAI DE GRENELLE,Promenades ouvertes,0.11218813,11.218813,65   QUAI DE GRENELLE,15,Promenade,48.85086786,2.283986325
37,SQUARE ALAIN BASHUNG,Promenades ouvertes,0.00895852,0.895852,16 RUE JESSAINT,18,Square,48.88532885,2.356201821
38,PARC MARCEL BLEUNSTEIN-BLANCHET DIT PARC DE LA TURLURE,Promenades ouvertes,0.32863039,32.863039,1 RUE BONNE,18,Parc,48.88780891,2.34372941
39,Bois de Boulogne,Bois,0.76695278,76.695278,,16,Bois,48.8545679,2.246285921
40,SQUARE MONSEIGNEUR MAILLET,Promenades ouvertes,0.36176486,36.176486,2 PL FETES,19,Square,48.87698803,2.393269725
41,CIMETIERE DU NORD DIT DE MONTMARTRE,Cimetières,0.43032011,43.032011,20- avenue Rachel,18,Cimetière,48.88756901,2.3302787
42,SQUARE D'ESTIENNE D'ORVES,Promenades ouvertes,0.38617892,38.617892,1 PL ESTIENNE ORVES,9,Square,48.87673801,2.331629824
43,Square des rue des Orteaux et Croix Saint Simon,Promenades ouvertes,0.06774948,6.774948,108 RUE ORTEAUX,20,Jardin,48.85537204,2.409368933
44,SQUARE EMILE COHL,Promenades ouvertes,0.08223689,8.223689,60 BD SOULT,12,Square,48.84213911,2.410183225
45,SQUARE HELENE BOUCHER,Promenades ouvertes,0.34674309,34.674309,6 RUE FERNAND WIDAL,13,Square,48.81851503,2.360285551
46,Bois de Vincennes,Bois,0.24314237,24.314237,,12,Bois,48.8364406,2.453493147
47,PROMENADE RICHARD LENOIR  PELEE-SAINT SEBASTIEN (ALLEE PAULINE LEON),Promenades ouvertes,0.45209597,45.209597,35   BOULEVARD RICHARD LENOIR,11,Promenade,48.86109236,2.372500233
48,SQUARE DE LA PLACE DE L'ABBE GEORGES HENOCQUE,Promenades ouvertes,0.70140711,70.140711,1 PL ABBE GEORGES HENOCQUE,13,Square,48.82383888,2.353304868
49,JARDINIERE DE LA PLACE DE L'ESTRAPADE,Décorations sur la voie publique,0.62940036,62.940036,1   PLACE DE L' ESTRAPADE,5,Jardiniere,48.84525146,2.344817261
50,SQUARE DE L'AMERIQUE LATINE,Promenades ouvertes,0.5323067,53.23067,8 PL PORTE CHAMPERRET,17,Square,48.88611587,2.290051815
51,SQUARE DE L'ASPIRANT DUNAND,Promenades ouvertes,0.51510198,51.510198,20 RUE SAILLARD,14,Square,48.832013,2.326266928
52,JARDIN DE LA PLACE DU TROCADERO ET DU ONZE NOVEMBRE,Promenades ouvertes,0.16607075,16.607075,10   PLACE DU TROCADERO ET DU ONZE NOVEMBRE,16,Jardin,48.86299506,2.287127802
53,Bois de Vincennes,Bois,0.71925821,71.925821,,12,Bois,48.82498028,2.444709188
54,SQUARE EUGENE THOMAS,Promenades ouvertes,0.29709984,29.709984,187 T RUE CHARENTON,12,Square,48.84117237,2.387625619
55,SQUARE FRANCK BAUER,Promenades ouvertes,0.53707558,53.707558,1 PL DUPLEIX,15,Square,48.85120558,2.295773931
56,Les Bosquettes Butte Mortemart,Bois,0,0,43  Route de la Seine à la Butte Mortemart,16,Bois,48.85169552,2.238678667
57,SQUARE NECKER,Promenades ouvertes,0.54724805,54.724805,13 RUE PROCESSION,15,Square,48.83954846,2.306524614
58,Les Bosquettes Saint James,Bois,0.47241984,47.241984,6 Allée de Madrid à Neuilly,16,Bois,48.87543168,2.256715956
59,Bois de Vincennes,Bois,0.65712552,65.712552,,12,Bois,48.82043366,2.434166298
60,SQUARE BRIGNOLE - MUSEE GALLIERA,Promenades ouvertes,0.19562751,19.562751,4 PL TOKYO,16,Square,48.86541426,2.296690978
61,JARDIN DE L'ECOLE POLYTECHNIQUE,Promenades ouvertes,0.14029419,14.029419,11 RUE DESCARTES,5,Jardin,48.84688705,2.349538869
62,Stades de Joinville,Bois,0.0670225,6.70225,Avenue des Canadiens,12,Bois,48.81849902,2.459383753
63,JARDIN PARTAGE DU 3 PASSAGE DES PATRIARCHES,Ephémères- partagés- pédagogiques,0.2,20,3 PASSAGE DES PATRIARCHES,5,Jardin partage,48.84107763,2.350366602
64,PARC MONTSOURIS,Promenades ouvertes,0.47128294,47.128294,28 BD JOURDAN,14,Parc,48.82219987,2.33811148
65,SQUARES DES ARENES DE LUTECE ET CAPITAN,Promenades ouvertes,0.35780521,35.780521,2 PL EMILE MALE,5,Square,48.84509997,2.353217406
66,CIMETIÈRE DE GENTILLY,Cimetières non parisiens,0.04383219,4.383219,,13,,48.81860227,2.350029614
67,WWF Le Domaine de Longchamp,Bois,0.68687385,68.687385,Route de Sèvres à Neuilly,16,Bois,48.86504783,2.23763062
68,JARDIN DE L'OBSERVATOIRE,Promenades ouvertes,0.6,60,98 BOULEVARD ARAGO,14,Jardin,48.83512372,2.336693163
69,SQUARE DE LA ROQUETTE,Promenades ouvertes,0.22607915,22.607915,147 RUE ROQUETTE,11,Square,48.85968452,2.384668729
70,SQUARE DES DEUX NETHES,Promenades ouvertes,0.15823275,15.823275,24 AV CLICHY,18,Square,48.88566034,2.327399365
71,JARDIN DU GENERAL ANSELIN,Promenades ouvertes,0.59896577,59.896577,1 AV POLOGNE,16,Jardin,48.86875372,2.272360428
72,Bois de Boulogne,Bois,0.53631955,53.631955,,16,Bois,48.870879,2.255208414
73,Bois de Vincennes,Bois,0.25655654,25.655654,,12,Bois,48.84165222,2.438523766
74,Bois de Vincennes,Bois,0.47906494,47.906494,,12,Bois,48.84311473,2.422068069
75,JARDIN LILY LASKINE,Promenades ouvertes,0.02395897,2.395897,35 RUE JACQUES IBERT,17,Jardin,48.88706683,2.288180172
76,Bois de Vincennes,Bois,0.24527682,24.527682,,12,Bois,48.81877202,2.450221646
77,Bois de Vincennes,Bois,0.42239711,42.239711,,12,Bois,48.83020597,2.403849549
78,ILE DE BERCY,Promenades ouvertes,0.37952284,37.952284,31 W ROUTE DE CEINTURE DU LAC DAUMESNIL,12,Ile,48.83191645,2.411154047
79,JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN),Promenades ouvertes,0.02722954,2.722954,16 IMP BERTHAUD,3,Jardin,48.86160277,2.354947151
80,JARDIN BRASSAI,Promenades ouvertes,0.14676262,14.676262,2 RUE EUGENE ATGET,13,Jardin,48.82880139,2.34961725
81,JARDIN DE LA PLACE SOUHAM,Promenades ouvertes,0.34128829,34.128829,5 PL SOUHAM,13,Jardin,48.82873565,2.367865064
82,JARDIN DE L'AVENUE FOCH - PELOUSE 11,Promenades ouvertes,0.30227939,30.227939,10 AV FOCH,16,Jardin,48.87370626,2.290722414
83,JARDIN DES COMBATTANTS DE LA NUEVE,Promenades ouvertes,0.16813485,16.813485,2 PL HOTEL VILLE ESPLANADE LIBERATION,4,Jardin,48.85576177,2.352163111
84,JARDIN DES DEUX MOULINS,Promenades ouvertes,0.13173061,13.173061,78 AV EDISON,13,Jardin,48.83048068,2.357905057
85,JARDIN DU MOULIN DES TROIS CORNETS,Promenades ouvertes,0.31916606,31.916606,2 T RUE RAYMOND LOSSERAND,14,Jardin,48.83667372,2.322365485
86,SQUARE ARMAND DAVID,Promenades ouvertes,0.6,60,90 RUE DU CHERCHE MIDI,6,Jardin,48.84781242,2.322185973
87,JARDIN FRIDA KAHLO,Promenades ouvertes,0.230912,23.0912,18 RUE NOISY SEC,20,Jardin,48.87206564,2.412924215
88,JARDIN MICHELET,Promenades ouvertes,0.55015861,55.015861,233 T RUE TOLBIAC,13,Jardin,48.82582022,2.343169291
89,Square Antoine BLONDIN,Promenades ouvertes,0.32113047,32.113047,126 RUE BAGNOLET,20,Square,48.86054224,2.405307784
90,SQUARE AUX ARTISTES,Promenades ouvertes,0.03143305,3.143305,15 AV GEORGES LAFENESTRE,14,Square,48.82482158,2.311435194
91,JARDIN DE LA MONTGOLFIERE,Promenades ouvertes,0.27971074,27.971074,42 RUE MOULINET,13,Jardin,48.82699467,2.353956625
92,SQUARE LOUIS MAJORELLE,Promenades ouvertes,0.26177853,26.177853,28 RUE FORGE ROYALE,11,Square,48.85211463,2.381281041
93,SQUARE HENRI ROUSSELLE,Promenades ouvertes,0.70006511,70.006511,6 PL PAUL VERLAINE,13,Square,48.82786621,2.352148547
94,SQUARE EUGENIE COTTON,Promenades ouvertes,0.33296475,33.296475,60 RUE COMPANS,19,Square,48.87858127,2.393560884
95,SQUARE HENRI ET ACHILLE DUCHENE,Promenades ouvertes,0.19405693,19.405693,148 RUE VERCINGETORIX,14,Square,48.83228664,2.310295423
96,PROMENADE BERNARD LAFAY - C1,Promenades ouvertes,0.11113195,11.113195,3 RUE RAYMOND PITET,17,Promenade,48.88911284,2.294919046
97,JARDINIERES DE LA RUE SERGE PROKOFIEV,Décorations sur la voie publique,0.10344539,10.344539,1   RUE SERGE PROKOFIEV,16,Jardiniere,48.85421326,2.268392276
98,Association Escapade Liberté- Mobilité,Bois,0.20143227,20.143227,Carrefour de la Patte d'Oie,12,Bois,48.82208254,2.442820871
99,SQUARE DE L'ABBE LEMIRE,Promenades ouvertes,0.34446515,34.446515,36 RUE ALAIN,14,Square,48.83524951,2.314589848
100,SQUARE DE LA PLACE DAUPHINE,Promenades ouvertes,0.32636179,32.636179,2 PL DAUPHINE,1,Square,48.85650671,2.342578051
101,SQUARE DE LA PORTE DE LA PLAINE,Promenades ouvertes,0.22724234,22.724234,16 RUE GENERAL GUILLAUMAT,15,Square,48.82861924,2.293008925
102,JARDIN DE MARIANNE,Promenades ouvertes,0.22140597,22.140597,16 PL NATION,11,Square,48.84838592,2.395919825
103,Le Chalet des Acacias,Bois,0.09651817,9.651817,42 w Chemin de Ceinture du Lac Inférieur,16,Bois,48.86538142,2.263397095
104,LIAISON FOUGÈRES FLEURY,Promenades ouvertes,0.17982153,17.982153,54   RUE LE VAU,20,Jardin,48.87122913,2.411806975
105,SQUARE DES RECOLLETS,Promenades ouvertes,0.90284399,90.284399,105 X QU JEMMAPES,10,Square,48.87357228,2.363591839
106,Bois de Vincennes,Bois,0.57825691,57.825691,,12,Bois,48.83425888,2.456424085
107,SQUARE FREDERIC BAZILLE,Promenades ouvertes,0.05260167,5.260167,15 T RUE BARDINET,14,Square,48.83021943,2.316880448
108,SQUARE GARIBALDI,Promenades ouvertes,0.42735189,42.735189,141 BD GRENELLE,15,Square,48.84845558,2.301855014
109,SQUARE JEAN LECLAIRE,Promenades ouvertes,0.22598767,22.598767,25 B RUE JEAN LECLAIRE,17,Square,48.89597319,2.325536962
110,SQUARE LEON SERPOLLET,Promenades ouvertes,0.20927937,20.927937,25 RUE CLOYS,18,Square,48.89219199,2.338578718
111,JARDIN CURIAL - CITE MICHELET,Promenades ouvertes,0.01398618,1.398618,94 RUE CURIAL,19,Jardin,48.89572374,2.376743982
112,UCPA Club Bayard Equitation,Bois,0.25446513,25.446513,Avenue du Polygone,12,Bois,48.83423872,2.431695421
113,Tir aux Pigeons,Bois,0.13932404,13.932404,Route de l'Etoile,16,Bois,48.8735612,2.259099818
114,La Garde Républicaine,Bois,0.31328162,31.328162,93 w Avenue de l'Hippodrome,16,Bois,48.86075587,2.25461889
115,Brigade cynophile - Préfecture de Police,Bois,0.35142763,35.142763,Avenue de l'Ecole de Joinville,12,Bois,48.81834283,2.453827106
116,Abri 8 Dépôt Forestier,Bois,0.24012421,24.012421,15 w Route des Batteries,12,Bois,48.83189618,2.425665373
117,JARDIN DU MUSÉE DE MONTMARTRE,Jardins grandes institutions,0.46156153,46.156153,,18,,48.88794925,2.341005936
118,Ferme de Paris,Bois,0.10332772,10.332772,25 w Route du Pesage,12,Bois,48.82248402,2.444409565
119,SQUARE DE LA MADONE,Promenades ouvertes,0.51549802,51.549802,17 RUE ROSES,18,Square,48.89266271,2.361492128
120,SQUARE DE LA PHOTO HIPPIQUE,Promenades ouvertes,0.37308813,37.308813,81  CHEMIN DE  CEINTURE DU LAC INFÉRIEUR,16,Square,48.86706029,2.261056317
121,SEPE- billetterie- garage quadricycles,Bois,0,0,Parc Floral- aire de jeux,12,Bois,48.83748011,2.447514869
122,Bois de Vincennes,Bois,0.64571062,64.571062,,12,Bois,48.84466214,2.444276571
123,Bois de Vincennes,Bois,0.53803031,53.803031,,12,Bois,48.83428647,2.444682717
124,Bois de Vincennes,Bois,0.59638781,59.638781,,12,Bois,48.82145674,2.442372465
125,SQUARE DE LA RUE BURQ,Promenades ouvertes,0.31919564,31.919564,14 RUE BURQ,18,Jardin,48.88642549,2.336980765
126,Bois de Vincennes,Bois,0.75455241,75.455241,,12,Bois,48.841909,2.456105925
127,PELOUSE PLACE DU GENERAL CATROUX-EST (ALEXANDRE DUMAS FILS),Jardinets décoratifs,,,1   PLACE DU GENERAL CATROUX,17,Pelouse,48.88223959,2.311234681
128,JARDIN DES TUILERIES,Jardins d'Etat,0.4,40,,1,,48.86342005,2.327714667
129,SQUARE BOUCICAUT,Promenades ouvertes,0.42956048,42.956048,1 RUE BABYLONE,7,Square,48.85137036,2.325761862
130,SQUARE DES MISSIONS ETRANGERES,Promenades ouvertes,0.41450734,41.450734,105 RUE BAC,7,Square,48.85242619,2.324444524
131,JARDIN ILAN HALIMI (ANC. RUE DE FECAMP - MICHEL BIZOT),Promenades ouvertes,0.18433829,18.433829,54 RUE FECAMP,12,Jardin,48.83607156,2.401549492
132,SQUARE GEORGES LAMARQUE,Promenades ouvertes,0.29242718,29.242718,1 RUE FROIDEVAUX,14,Square,48.83475005,2.330607474
133,JARDINET DE LA PLACE DES VINS DE FRANCE,Jardinets décoratifs,0.18301511,18.301511,1   PLACE DES VINS DE FRANCE,12,Jardinet,48.83235602,2.387448148
134,PROMENADE RICHARD LENOIR TERRAIN DE BOULES JULES FERRY,Promenades ouvertes,0.55371163,55.371163,35   BOULEVARD RICHARD LENOIR,11,Promenade,48.86659107,2.369012016
135,PROMENADE PC 18 - POTEAU - ORNANO,Promenades ouvertes,0.8,80,100 RUE BELLIARD,18,Promenade,48.89720203,2.340858458
136,CIMETIERE DU SUD DIT DU MONTPARNASSE,Cimetières,0.23952954,23.952954,3- boulevard Edgar-Quinet,14,Cimetière,48.8380198,2.327293016
137,JARDINIERES DE LA PROMENADE PLANTEE TOLBIAC CHEVALERET,Décorations sur la voie publique,0.91922196,91.922196,64   RUE DU CHEVALERET,13,Jardiniere,48.83067346,2.375192482
138,SQUARE DE LA PORTE DE LA VILLETTE,Promenades ouvertes,0.28193548,28.193548,22 RUE CHEMIN FER,19,Square,48.89985378,2.389950214
139,SQUARE HENRI CADIOU,Promenades ouvertes,0.10874918,10.874918,69 BD ARAGO,13,Square,48.83425117,2.34250104
140,SQUARE JEAN COCTEAU,Promenades ouvertes,0.36494673,36.494673,126 AV FELIX FAURE,15,Square,48.83871685,2.280451426
141,MAIL MAURICE NOGUES,Promenades ouvertes,0.09373348,9.373348,15 RUE MAURICE NOGUES,14,,48.82528501,2.304907326
142,SQUARE SAINTE-ODILE,Promenades ouvertes,0.57973064,57.973064,9 BD SOMME,17,Square,48.88757454,2.293334263
143,SQUARE SANTIAGO DU CHILI,Promenades ouvertes,0.52605258,52.605258,1 PL SALVADOR ALLENDE,7,Square,48.85747587,2.310918684
144,SQUARE MICHEL FOUCAULT,Jardinets décoratifs,0.87884046,87.884046,43 Q RUE DES ECOLES,5,Square,48.84933758,2.345228459
145,SQUARE SEVERINE,Promenades ouvertes,0.27798352,27.798352,1 AV PORTE BAGNOLET,20,Square,48.86565907,2.410150304
146,SQUARE YVETTE CHAUVIRE,Promenades ouvertes,0.50780578,50.780578,25 PL COMMERCE,15,Square,48.84501937,2.292951634
147,APNLE,Bois,0.12455597,12.455597,9 w Chemin de l'Abbaye,16,Bois,48.86626789,2.233944079
148,PARC DE LA CITÉ UNIVERSITAIRE,Jardins grandes institutions,0.3061906,30.61906,,14,,48.81894328,2.33731463
149,JARDIN DE L'AVENUE DODE DE LA BRUNERIE,Promenades ouvertes,0.4,40,1 AVENUE DODE DE LA BRUNERIE,16,Jardin,48.83590341,2.257644226
150,JARDIN DU CARROUSEL,Jardins d'Etat,0.03788763,3.788763,,1,,48.8619212,2.332484092
151,JARDIN D'EOLE,Promenades ouvertes,0.02180571,2.180571,20 RUE DEPARTEMENT,18,Jardin,48.88751314,2.366215276
152,JARDIN ALLERAY - PROCESSION,Promenades ouvertes,0.50023961,50.023961,79 RUE ALLERAY,15,Jardin,48.83671496,2.308322169
153,Bois de Boulogne,Bois,0.4372485,43.72485,,16,Bois,48.87769036,2.258494914
154,Bois de Boulogne,Bois,0.08092653,8.092653,,16,Bois,48.86331123,2.265691507
155,SQUARE DU DOCTEUR VARIOT,Promenades ouvertes,0.37070439,37.070439,162 AV GAMBETTA,20,Square,48.87616111,2.406620973
156,Bois de Boulogne,Bois,0.56808446,56.808446,,16,Bois,48.86630159,2.233170966
157,Bois de Boulogne,Bois,0.88558106,88.558106,,16,Bois,48.86409796,2.246325916
158,Bois de Vincennes,Bois,0.67703685,67.703685,,12,Bois,48.83297453,2.425643621
159,Bois de Vincennes,Bois,0.29506441,29.506441,,12,Bois,48.8258888,2.418108117
160,Bois de Vincennes,Bois,0.52953504,52.953504,,12,Bois,48.84065048,2.423904285
161,Bois de Vincennes,Bois,0.51816234,51.816234,,12,Bois,48.83430316,2.444991149
162,Bois de Vincennes,Bois,0.94620236,94.620236,,12,Bois,48.8280518,2.430022251
163,Bois de Vincennes,Bois,0.50755802,50.755802,,12,Bois,48.84419403,2.445373023
164,Bois de Vincennes,Bois,0.89560205,89.560205,,12,Bois,48.82721733,2.427455155
165,Bois de Vincennes,Bois,0.20880145,20.880145,,12,Bois,48.84274749,2.437903411
166,Jardin de l'Hospice DEBROUSSE,Promenades ouvertes,0.36392684,36.392684,148 RUE BAGNOLET,20,Jardin,48.86200641,2.406839871
167,JARDIN DES TUILERIES,Jardins d'Etat,0.1874214,18.74214,,1,,48.86479901,2.323449104
168,JARDIN FRANCOISE HERITIER,Promenades ouvertes,0.0124964,1.24964,1 PL GARENNE,14,Square,48.83396686,2.319684838
169,JARDIN FRANCOISE MALLET-JORIS,Promenades ouvertes,0.1,10,11 RUE ALPHONSE BOUDARD,13,Jardin,48.83170585,2.373637145
170,JARDIN DE L'AVENUE FOCH - PELOUSE 12,Promenades ouvertes,0.36288882,36.288882,10 AV FOCH,16,Jardin,48.87370708,2.29127746
171,PROMENADE DU COURS ALBERT 1ER,Promenades ouvertes,0.11984628,11.984628,5 X COUR ALBERT IER,8,Promenade,48.86434601,2.306673752
172,PROMENADE DU COURS LA REINE,Promenades ouvertes,0.04107627,4.107627,19 X COUR REINE,8,Promenade,48.86452903,2.314787773
173,PROMENADE RICHARD LENOIR SQUARE RICHARD LENOIR,Promenades ouvertes,0.46769305,46.769305,35   BOULEVARD RICHARD LENOIR,11,Promenade,48.85910111,2.371822985
174,SQUARE ALEXIS CLEREL DE TOCQUEVILLE,Promenades ouvertes,0.063641,6.3641,89 RUE TOCQUEVILLE,17,Square,48.8868424,2.306910314
175,SQUARE BARYE,Promenades ouvertes,0.34083175,34.083175,2 BD HENRI 4,4,Square,48.84994837,2.359818945
176,CIMETIERE DE GRENELLE,Cimetières,0.16230216,16.230216,174- rue Saint-Charles,15,Cimetière,48.84133015,2.279757267
177,HIPPODROME D'AUTEUIL- PELOUSE A,Promenades ouvertes,0.01590255,1.590255,3  ROUTE D' AUTEUIL AUX LACS,16,Pelouse,48.85067923,2.256164493
178,JARDIN DE LA RUE COMPANS,Promenades ouvertes,0.34490205,34.490205,39 RUE COMPANS,19,Jardin,48.87800526,2.392590231
179,JARDIN DE LA RUE GINETTE NEVEU,Promenades ouvertes,0.22903063,22.903063,21 RUE GINETTE NEVEU,18,Jardin,48.89999605,2.34524108
180,SQUARE DE LA RUE CHARLES HERMITE,Promenades ouvertes,0.82022442,82.022442,40 RUE CHARLES HERMITE,18,Square,48.90007374,2.36632364
181,Bois de Vincennes,Bois,0.6467373,64.67373,,12,Bois,48.82405116,2.44231818
182,SQUARE THEODORE MONOD,Promenades ouvertes,0.63801363,63.801363,23 RUE FER MOULIN,5,Square,48.83875202,2.353710628
183,Bois de Boulogne,Bois,0.49534725,49.534725,,16,Bois,48.85248927,2.249658094
184,Bois de Vincennes,Bois,0.95748133,95.748133,,12,Bois,48.82736149,2.441564318
185,SQUARE LOUIS LUMIERE,Promenades ouvertes,0.39736125,39.736125,24 RUE LOUIS LUMIERE,20,Square,48.85884184,2.411846533
186,Bois de Boulogne,Bois,0.82282848,82.282848,,16,Bois,48.87171621,2.268302863
187,MAIL DU PASSAGE NAFISSA SID CARA,Décorations sur la voie publique,0.0137694,1.37694,1 Z PASSAGE NAFISSA SID CARA,19,Mail,48.87917269,2.409409078
188,PLATE BANDE DE LA RUE DES BERNARDINS,Jardinets décoratifs,0.28096384,28.096384,4   RUE DES BERNARDINS,5,Plate-bande,48.85087012,2.351008775
189,JARDINIERE ANGLE DES RUES DES HAUDRIETTES - TEMPLE,Décorations sur la voie publique,0.12716609,12.716609,7   RUE DES HAUDRIETTES,3,Jardiniere,48.86173531,2.357070048
190,JARDINIERES DE L'AVENUE DE LA PORTE DE VINCENNES (12EME),Décorations sur la voie publique,0.24941232,24.941232,2   AVENUE DE LA PORTE DE VINCENNES,12,Jardiniere,48.84665268,2.412548414
191,PROMENADE DE L'ALLEE DU SEMINAIRE - JEAN-JACQUES OLIER,Promenades ouvertes,0.33647409,33.647409,77 A RUE BONAPARTE,6,Promenade,48.84910616,2.332947231
192,SQUARE DE L'AVENUE CAFFIERI,Promenades ouvertes,0.08566955,8.566955,11 AV CAFFIERI,13,Square,48.81986404,2.351300102
193,SQUARE DES BATIGNOLLES,Promenades ouvertes,0.53193292,53.193292,144 B RUE CARDINET,17,Square,48.88745588,2.316300616
194,ECOLE D'HORTICULTURE DU BREUIL ARBORETUM,Promenades ouvertes,0.39406961,39.406961,0   ROUTE DE LA PYRAMIDE,12,Arboretum,48.82138718,2.456643898
195,ECOLE D'HORTICULTURE DU BREUIL,Promenades ouvertes,0.05750311,5.750311,0   ROUTE DE LA FERME,12,Jardin,48.82339687,2.460525594
196,TERRAIN DE BOULES BOULEVARD DE REIMS,Promenades ouvertes,0.23553222,23.553222,29 BD REIMS,17,Terrain de boules,48.8887311,2.297176343
197,Manège du Plateau Bel Air,Bois,0,0,8 w Avenue de Bel Air,12,Bois,48.84359254,2.422006004
198,SQUARE JEROME BELLAT,Promenades ouvertes,0.49224038,49.224038,2 PL STUART MERRILL,17,Square,48.88592166,2.293751693
199,SQUARE LEO FERRE,Promenades ouvertes,0.00130206,0.130206,3 IMP DRUINOT,12,Square,48.84968303,2.380603558
200,SQUARE MARIUS CONSTANT,Promenades ouvertes,0.3516268,35.16268,8 RUE ORTOLAN,5,Square,48.84337969,2.350441395
201,SQUARE SAINT-BERNARD - SAID BOUZIRI,Promenades ouvertes,0.7014615,70.14615,16 RUE AFFRE,18,Square,48.88613379,2.356065986
202,JARDINIERES DE LA RUE PAUL BOURGET,Décorations sur la voie publique,,,2 RUE PAUL BOURGET,13,Jardiniere,48.81746122,2.358429787
203,JARDINIERES DE LA PLACE ALPHONSE ALLAIS,Décorations sur la voie publique,0.7,70,2 PLACE ALPHONSE ALLAIS,20,Jardiniere,48.87065323,2.382021799
204,Quartier de travail Hippodrome de Vincennes,Bois,0.08450658,8.450658,Route du Pesage,12,Bois,48.82395601,2.445057672
205,Le Bosquet,Bois,0.02110626,2.110626,Parc Floral,12,Bois,48.83957481,2.443995398
206,SEPE- Les petits navires,Bois,0.01648999,1.648999,Parc Floral- aire de jeux,12,Bois,48.83712006,2.449928411
207,Redoute de Gravelle,Bois,0.06644316,6.644316,Avenue de l'Ecole de Joinville,12,Bois,48.81911157,2.454333701
208,Centre Culturel de la Cartoucherie,Bois,0.23017254,23.017254,Route du Champ de Manoeuvre,12,Bois,48.83555232,2.448490493
209,Mail place Saint BLAISE,Promenades ouvertes,0,0,119 RUE BAGNOLET,20,,48.86043962,2.404142676
210,Porte Jaune,Bois,0.47752583,47.752583,Avenue de Nogent,12,Bois,48.83822041,2.459031914
211,Camping du Bois de Boulogne,Bois,0.46156889,46.156889,Allée du Bord de l'Eau,16,Bois,48.86965322,2.236409278
212,Le Chalet des Iles,Bois,0.04203589,4.203589,Ile du Lac Inférieur,16,Bois,48.86355269,2.260162354
213,Société de Jeux de Boules de Passy,Bois,0.40942608,40.942608,39 Avenue de Saint Cloud,16,Bois,48.85703053,2.252035999
214,Les Bosquettes Plaine de Jeux,Bois,0.01070131,1.070131,14 w Route du Champ d'Entraînement,16,Bois,48.87401305,2.24774471
215,SQUARE OZANAM,Promenades ouvertes,0.52967796,52.967796,91 B BD MONTPARNASSE,6,Square,48.84334111,2.327430718
216,Bois de Vincennes,Bois,0.64422634,64.422634,,12,Bois,48.82462161,2.440176358
217,SQUARE BARGUE - PLATON,Promenades ouvertes,0.24757069,24.757069,134 RUE FALGUIERE,15,Square,48.83746026,2.310538425
218,JARDIN DU 62 AU 68 RUE D'ALLERAY,Promenades ouvertes,0.70889069,70.889069,62 RUE ALLERAY,15,Jardin,48.83604747,2.304979527
219,JARDIN DE L'HOPITAL VAUGIRARD,Promenades ouvertes,0.3898666,38.98666,389 RUE VAUGIRARD,15,Jardin,48.83472381,2.293162763
